Authors,Publication_year,Title,Publication_page_link,Authors_profile_page_link
hasri e ayoubi r mohiuddin babu ferreira j,2022,explor factor impact learn academ staff univers,https://pureportal.coventry.ac.uk/en/publications/exploring-the-factors-that-impacts-the-self-directed-learning-of-,"https://pureportal.coventry.ac.uk/en/persons/eddie-hasri, https://pureportal.coventry.ac.uk/en/persons/rami-ayoubi, https://pureportal.coventry.ac.uk/en/persons/mujahid-mohiuddin-babu, https://pureportal.coventry.ac.uk/en/persons/jennifer-ferreira"
fero k,2022,expos nurs narr racism pandem,https://pureportal.coventry.ac.uk/en/publications/exposed-nursing-narratives-racism-and-the-pandemic,https://pureportal.coventry.ac.uk/en/persons/ken-fero
grawemey b halloran j england,2022,feedback engag introductori program modul,https://pureportal.coventry.ac.uk/en/publications/feedback-and-engagement-on-an-introductory-programming-module,"https://pureportal.coventry.ac.uk/en/persons/beate-grawemeyer, https://pureportal.coventry.ac.uk/en/persons/john-halloran, https://pureportal.coventry.ac.uk/en/persons/matthew-england"
jacobo j,2022,figur gender upon us transfeminin contemporari queer fiction philippin,https://pureportal.coventry.ac.uk/en/publications/figures-of-a-gender-now-upon-us-the-transfeminine-in-contemporary,https://pureportal.coventry.ac.uk/en/persons/jaya-jacobo
wimpenni k,2022,foreword katherin wimpenni,https://pureportal.coventry.ac.uk/en/publications/foreword-by-prof-katherine-wimpenny,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
ayoubi r kamal,2022,gamifi flip classroom versu tradit classroom learn approach effici busi educ,https://pureportal.coventry.ac.uk/en/publications/gamified-flipped-classroom-versus-traditional-classroom-learning-,"https://pureportal.coventry.ac.uk/en/persons/rami-ayoubi, https://pureportal.coventry.ac.uk/en/persons/muhammad-mustafa-kamal"
wimpenni k,2022,global citizenship educ sustain overcom contradict tension rhetor flaw global citizenship borderland learn,https://pureportal.coventry.ac.uk/en/publications/global-citizenship-education-and-sustainability-overcoming-contra,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
dang q dewint morini l wimpenni k,2022,global learn assess global curricula enhanc teach train,https://pureportal.coventry.ac.uk/en/publications/global-learning-and-assessment-how-can-global-citizenship-oriente,"https://pureportal.coventry.ac.uk/en/persons/que-anh-dang, https://pureportal.coventry.ac.uk/en/persons/alun-dewinter, https://pureportal.coventry.ac.uk/en/persons/luca-morini, https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny"
morini l,2022,higher educ decolonis whose voic geograph locat,https://pureportal.coventry.ac.uk/en/publications/higher-education-decolonisation-whose-voices-and-their-geographic,https://pureportal.coventry.ac.uk/en/persons/luca-morini
alsop oxford w,2022,intra reliabl novel isometr test neck strength,https://pureportal.coventry.ac.uk/en/publications/intra-and-inter-rater-reliability-of-a-novel-isometric-test-of-ne,"https://pureportal.coventry.ac.uk/en/persons/sian-alsop, https://pureportal.coventry.ac.uk/en/persons/sam-oxford"
wimpenni k,2022,know relat express third space global coil digit inclus equiti intern higher educ,https://pureportal.coventry.ac.uk/en/publications/knowing-being-relating-and-expressing-through-third-space-global-,"https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny, https://pureportal.coventry.ac.uk/en/persons/marina-orsini-jones"
crawford,2022,local author actor emerg system england,https://pureportal.coventry.ac.uk/en/publications/local-authorities-as-actors-in-the-emerging-school-led-system-in-,https://pureportal.coventry.ac.uk/en/persons/megan-crawford
clouder l karaku,2022,neurodiversidad en la educación superior la experiencia de lo estudiant,https://pureportal.coventry.ac.uk/en/publications/neurodiversidad-en-la-educaci%C3%B3n-superior-la-experiencia-de-los-es,"https://pureportal.coventry.ac.uk/en/persons/deanne-clouder, https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus"
karaku clouder l,2022,nurtur climat innov didact educ system case studi explor leadership privat school turkey,https://pureportal.coventry.ac.uk/en/publications/nurturing-a-climate-of-innovation-in-a-didactic-educational-syste,"https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus, https://pureportal.coventry.ac.uk/en/persons/deanne-clouder"
tramontano c wright h,2022,older individu convict sexual offens literatur review,https://pureportal.coventry.ac.uk/en/publications/older-individuals-convicted-of-sexual-offenses-a-literature-revie,"https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano, https://pureportal.coventry.ac.uk/en/persons/hayley-wright"
,2022,comfort zone troubl exchang blend time covid pandem,https://pureportal.coventry.ac.uk/en/publications/out-of-the-comfort-zone-the-trouble-with-a-mooc-virtual-exchange-,https://pureportal.coventry.ac.uk/en/persons/marina-orsini-jones
jacobo j,2022,pedagogi queer studi beyond empir,https://pureportal.coventry.ac.uk/en/publications/pedagogy-of-queer-studies-beyond-empire,https://pureportal.coventry.ac.uk/en/persons/jaya-jacobo
morini l chen dawson,2022,play participatori map game foster system think,https://pureportal.coventry.ac.uk/en/publications/playful-participatory-mapping-co-creating-games-to-foster-systems,"https://pureportal.coventry.ac.uk/en/persons/luca-morini, https://pureportal.coventry.ac.uk/en/persons/yung-fang-chen, https://pureportal.coventry.ac.uk/en/persons/mark-dawson"
morini l,2022,prendersi il gioco la prospettiva della contro l egemonia dei sistemi chiusi nei giochi educativi,https://pureportal.coventry.ac.uk/en/publications/prendersi-il-gioco-la-prospettiva-della-co-progettazione-contro-l,https://pureportal.coventry.ac.uk/en/persons/luca-morini
crawford,2022,princip let talk emot lesson taught us emerg situat leadership,https://pureportal.coventry.ac.uk/en/publications/principal-lets-talk-about-emotions-some-lessons-covid-19-taught-u,https://pureportal.coventry.ac.uk/en/persons/megan-crawford
morini l,2022,question publish unpublish therefor import invis academ activ,https://pureportal.coventry.ac.uk/en/publications/questioning-the-published-on-the-unpublishability-and-therefore-t,https://pureportal.coventry.ac.uk/en/persons/luca-morini
raven,2022,reimagin qualit social research fieldwork move onlin percept racism among physic educ student,https://pureportal.coventry.ac.uk/en/publications/reimagining-qualitative-social-research-fieldwork-to-move-online-,https://pureportal.coventry.ac.uk/en/persons/steve-raven
tramontano c,2022,classroom role motiv posit resili,https://pureportal.coventry.ac.uk/en/publications/self-efficacy-in-the-classroom-the-roles-of-motivation-positivity,https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano
wimpenni k,2022,student percept experi translanguag pedagogi teach english academ purpos china,https://pureportal.coventry.ac.uk/en/publications/students-perceptions-and-experiences-of-translanguaging-pedagogy-,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
wimpenni k,2022,take coil virtual exchang scale,https://pureportal.coventry.ac.uk/en/publications/taking-coil-virtual-exchange-to-scale-2004-2020,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
lawson,2022,develop mathemat support teach learn practic scholarship commun,https://pureportal.coventry.ac.uk/en/publications/the-development-of-mathematics-support-teaching-and-learning-prac,https://pureportal.coventry.ac.uk/en/persons/duncan-lawson
price c owen lawson,2022,impact year level mathemat student find survey,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-covid-19-on-year-13-a-level-mathematics-students-fi,"https://pureportal.coventry.ac.uk/en/persons/charlotte-price, https://pureportal.coventry.ac.uk/en/persons/alun-owen, https://pureportal.coventry.ac.uk/en/persons/duncan-lawson"
tramontano c,2022,implicit compon moral disengag appli relat respond task investig relationship cheat behavior,https://pureportal.coventry.ac.uk/en/publications/the-implicit-component-of-moral-disengagement-applying-the-relati,https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano
lawson,2022,import mathemat statist support english univers analysi regulatori document,https://pureportal.coventry.ac.uk/en/publications/the-importance-of-mathematics-and-statistics-support-in-english-u,https://pureportal.coventry.ac.uk/en/persons/duncan-lawson
karaku,2022,influenc ict use relat attitud student math scienc perform multilevel analys last decad pisa survey,https://pureportal.coventry.ac.uk/en/publications/the-influence-of-ict-use-and-related-attitudes-on-students-math-a,https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus
muhammad r r lawson aslam f crawford,2022,scientif approach indonesian curriculum comparison activ learn strategi mathemat,https://pureportal.coventry.ac.uk/en/publications/the-scientific-approach-of-the-indonesian-2013-curriculum-a-compa,"https://pureportal.coventry.ac.uk/en/persons/rosida-rakhmawati-muhammad, https://pureportal.coventry.ac.uk/en/persons/duncan-lawson, https://pureportal.coventry.ac.uk/en/persons/farzana-aslam, https://pureportal.coventry.ac.uk/en/persons/megan-crawford"
ayoubi r crawford,2022,student experi teach learn transnat higher educ phenomenograph studi partnership,https://pureportal.coventry.ac.uk/en/publications/the-student-experiences-of-teaching-and-learning-in-transnational,"https://pureportal.coventry.ac.uk/en/persons/rami-ayoubi, https://pureportal.coventry.ac.uk/en/persons/megan-crawford"
morini l,2022,univers,https://pureportal.coventry.ac.uk/en/publications/the-university-colonisedcoloniser,https://pureportal.coventry.ac.uk/en/persons/luca-morini
wimpenni k,2022,use open educ practic across mediterranean intercultur curriculum develop higher educ,https://pureportal.coventry.ac.uk/en/publications/using-open-education-practices-across-the-mediterranean-for-inter-2,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
crawford,2022,walk teacher studi explor import teacher wellb career,https://pureportal.coventry.ac.uk/en/publications/walking-with-teachers-a-study-to-explore-the-importance-of-teache,https://pureportal.coventry.ac.uk/en/persons/megan-crawford
grant c tramontano c,2022,need right blend qualit explor remot experi work,https://pureportal.coventry.ac.uk/en/publications/it-needs-to-be-the-right-blend-a-qualitative-exploration-of-remot,"https://pureportal.coventry.ac.uk/en/persons/christine-grant, https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano"
wimpenni k dewint,2021,adapt project becom virtual collabor,https://pureportal.coventry.ac.uk/en/publications/adapting-a-capacity-development-in-higher-education-project-doing,"https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny, https://pureportal.coventry.ac.uk/en/persons/alun-dewinter"
lawson,2021,histori develop mathemat statist support commun unit kingdom part alpha sigma,https://pureportal.coventry.ac.uk/en/publications/a-history-of-the-development-of-the-mathematics-and-statistics-su,https://pureportal.coventry.ac.uk/en/persons/duncan-lawson
crawford,2021,head depart english univers,https://pureportal.coventry.ac.uk/en/publications/being-a-head-of-department-in-an-english-university,https://pureportal.coventry.ac.uk/en/persons/megan-crawford
clouder l,2021,borderland academ staff becom doctor student,https://pureportal.coventry.ac.uk/en/publications/borderlanders-academic-staff-being-and-becoming-doctoral-students,https://pureportal.coventry.ac.uk/en/persons/deanne-clouder
dewint,2021,coil effect use divers contribut equal experi ikudu african consortium oper via decolonis approach project deliveri,https://pureportal.coventry.ac.uk/en/publications/can-coil-be-effective-in-using-diversity-to-contribute-to-equalit,https://pureportal.coventry.ac.uk/en/persons/alun-dewinter
crawford,2021,conceptualis leadership emot higher educ wellb whole,https://pureportal.coventry.ac.uk/en/publications/conceptualising-leadership-and-emotions-in-higher-education-wellb,https://pureportal.coventry.ac.uk/en/persons/megan-crawford
wimpenni k,2021,critiqu inclus pedagogi onlin convers inclus onlin pedagogi,https://pureportal.coventry.ac.uk/en/publications/critiquing-inclusive-pedagogies-online-conversations-on-inclusive,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
morini l,2021,decolonis educ foster convers interim project report,https://pureportal.coventry.ac.uk/en/publications/decolonising-education-fostering-conversations-interim-project-re,https://pureportal.coventry.ac.uk/en/persons/luca-morini
tramontano c grant c,2021,develop valid scale assess digit compet remot work,https://pureportal.coventry.ac.uk/en/publications/development-and-validation-of-the-e-work-self-efficacy-scale-to-a,"https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano, https://pureportal.coventry.ac.uk/en/persons/christine-grant"
,2021,digit critic literaci develop intercultur awar rais action action action elt,https://pureportal.coventry.ac.uk/en/publications/digital-critical-literacy-development-and-intercultural-awareness,https://pureportal.coventry.ac.uk/en/persons/marina-orsini-jones
clouder l,2021,academ make meaning,https://pureportal.coventry.ac.uk/en/publications/dual-status-academics-what-makes-for-meaningful-identity-work,https://pureportal.coventry.ac.uk/en/persons/deanne-clouder
brown g morini l wimpenni k,2021,ecolog collabor onlin intern learn tackl wick sustain problem educ sustain develop,https://pureportal.coventry.ac.uk/en/publications/ecologized-collaborative-online-international-learning-tackling-w,"https://pureportal.coventry.ac.uk/en/persons/geraldine-brown, https://pureportal.coventry.ac.uk/en/persons/luca-morini, https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny"
morini l,2021,educ bulwark useless,https://pureportal.coventry.ac.uk/en/publications/education-as-bulwark-of-uselessness,https://pureportal.coventry.ac.uk/en/persons/luca-morini
karaku,2021,emot learn teach leadership bibliometr review asian literatur,https://pureportal.coventry.ac.uk/en/publications/emotions-in-learning-teaching-and-leadership-a-bibliometric-revie,https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus
gokhool f lawson hodd aslam f,2021,explor differenti engag mathemat support engin student focu,https://pureportal.coventry.ac.uk/en/publications/exploring-differential-engagement-with-mathematics-support-from-a,"https://pureportal.coventry.ac.uk/en/persons/farhana-gokhool, https://pureportal.coventry.ac.uk/en/persons/duncan-lawson, https://pureportal.coventry.ac.uk/en/persons/mark-hodds, https://pureportal.coventry.ac.uk/en/persons/farzana-aslam"
bello j,2021,find place world sustain develop goal,https://pureportal.coventry.ac.uk/en/publications/finding-our-place-in-the-world-with-the-sustainable-development-g,https://pureportal.coventry.ac.uk/en/persons/jaliyyah-bello
morini l raven,2021,institut code educ evalu report,https://pureportal.coventry.ac.uk/en/publications/institute-of-coding-educational-evaluation-report,"https://pureportal.coventry.ac.uk/en/persons/luca-morini, https://pureportal.coventry.ac.uk/en/persons/steve-raven"
chen dang q dewint,2021,integr ecolog practic across learn cycl support transform behaviour transgener transnat transdisciplinari space,https://pureportal.coventry.ac.uk/en/publications/integrating-sustainability-oriented-ecologies-of-practice-across-,"https://pureportal.coventry.ac.uk/en/persons/yung-fang-chen, https://pureportal.coventry.ac.uk/en/persons/que-anh-dang, https://pureportal.coventry.ac.uk/en/persons/alun-dewinter"
wimpenni k,2021,internationalis classroom question align embed coil internationalis curriculum,https://pureportal.coventry.ac.uk/en/publications/internationalisation-in-the-classroom-and-questions-of-alignment-,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
dewint wimpenni k,2021,jovit jordan opportun virtual innov teach learn final report project activ impact evalu intern onlin teach learn particular attent jordanian case,https://pureportal.coventry.ac.uk/en/publications/jovital-jordan-opportunity-for-virtual-innovative-teaching-and-le,"https://pureportal.coventry.ac.uk/en/persons/alun-dewinter, https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny"
lawson,2021,lesson mathemat higher educ year mathemat support,https://pureportal.coventry.ac.uk/en/publications/lessons-for-mathematics-higher-education-from-25-years-of-mathema,https://pureportal.coventry.ac.uk/en/persons/duncan-lawson
arnab wimpenni k,2021,measur student resili play learn,https://pureportal.coventry.ac.uk/en/publications/measuring-early-primary-students-resilience-through-playful-learn,"https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab, https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny"
tramontano c,2021,measur prosoci behavior psychometr properti valid prosoci scale five countri,https://pureportal.coventry.ac.uk/en/publications/measuring-prosocial-behaviors-psychometric-properties-and-cross-n,https://pureportal.coventry.ac.uk/en/persons/carlo-tramontano
dewint harrison p wimpenni k,2021,motiv factor student decis studi transnat higher educ china compar studi two programm,https://pureportal.coventry.ac.uk/en/publications/enhancing-transnational-education-tne-programmes-understanding-st,"https://pureportal.coventry.ac.uk/en/persons/alun-dewinter, https://pureportal.coventry.ac.uk/en/persons/peter-harrison, https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny"
fero k,2021,obstin memori documentari trauma disrupt state narr racial violenc,https://pureportal.coventry.ac.uk/en/publications/obstinate-memory-documentary-as-trauma-in-disrupting-state-narrat,https://pureportal.coventry.ac.uk/en/persons/ken-fero
wimpenni k,2021,onlin pedagogi beyond classroom,https://pureportal.coventry.ac.uk/en/publications/online-pedagogies-beyond-the-classroom,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
karaku,2021,outcom school administr emot manag review evid asian countri,https://pureportal.coventry.ac.uk/en/publications/outcomes-of-school-administrators-emotion-management-a-review-of-,https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus
wimpenni k,2021,practis cultur sensit virtual space virtual intern cultur divers festiv,https://pureportal.coventry.ac.uk/en/publications/practising-cultural-sensitivity-in-virtual-spaces-virtual-interna,https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny
karaku,2021,affect scienc mathemat teacher structur equat model,https://pureportal.coventry.ac.uk/en/publications/self-efficacy-affective-well-being-and-intent-to-leave-by-science,https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus
karaku,2021,spiritu children adolesc adult student scientif map literatur,https://pureportal.coventry.ac.uk/en/publications/spirituality-and-well-being-of-children-adolescent-and-adult-stud,https://pureportal.coventry.ac.uk/en/persons/mehmet-karakus
nesi h alsop,2021,stori scenario lectur use fantast hypothet event,https://pureportal.coventry.ac.uk/en/publications/stories-and-scenarios-lecturers-use-of-fantastic-hypothetical-eve,"https://pureportal.coventry.ac.uk/en/persons/hilary-nesi, https://pureportal.coventry.ac.uk/en/persons/sian-alsop"
wimpenni k dewint harrison p,2021,student percept experi teach learn transnat higher educ china implic intercultur dialogu framework,https://pureportal.coventry.ac.uk/en/publications/students-perceptions-and-experiences-of-teaching-and-learning-in-,"https://pureportal.coventry.ac.uk/en/persons/katherine-wimpenny, https://pureportal.coventry.ac.uk/en/persons/alun-dewinter, https://pureportal.coventry.ac.uk/en/persons/peter-harrison"
